image,class
challenge_1606b0e6_0_1052.63_1055.90623798895.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1052.63_1055.90623798895.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1052.63_1055.90623798895.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1052.63_1055.90623798895.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1074.9422116052842_1078.03.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1074.9422116052842_1078.03.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1074.9422116052842_1078.03.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1074.9422116052842_1078.03.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1076.35_1079.3108669560006.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1076.35_1079.3108669560006.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1076.35_1079.3108669560006.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1194.9477235462411_1197.4477235462411.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1194.9477235462411_1197.4477235462411.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1194.9477235462411_1197.4477235462411.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1379.3221846588851_1381.8221846588851.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1379.3221846588851_1381.8221846588851.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1379.3221846588851_1381.8221846588851.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1429.899592111251_1433.67.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1429.899592111251_1433.67.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1429.899592111251_1433.67.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1429.899592111251_1433.67.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1430.8300000000002_1434.105106699092.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1430.8300000000002_1434.105106699092.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1430.8300000000002_1434.105106699092.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1430.8300000000002_1434.105106699092.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1436.59_1439.8740205809872.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1436.59_1439.8740205809872.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1436.59_1439.8740205809872.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1436.59_1439.8740205809872.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1503.188807004356_1505.688807004356.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1503.188807004356_1505.688807004356.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1503.188807004356_1505.688807004356.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1544.812630361525_1547.312630361525.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1544.812630361525_1547.312630361525.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1544.812630361525_1547.312630361525.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1560.6119652968775_1563.2700000000002.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1560.6119652968775_1563.2700000000002.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1560.6119652968775_1563.2700000000002.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1589.207533388979_1591.707533388979.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1589.207533388979_1591.707533388979.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1589.207533388979_1591.707533388979.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1630.3698041551356_1632.8698041551356.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1630.3698041551356_1632.8698041551356.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1630.3698041551356_1632.8698041551356.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1633.8439032857234_1636.3439032857234.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1633.8439032857234_1636.3439032857234.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1633.8439032857234_1636.3439032857234.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1747.266323557568_1750.35.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1747.266323557568_1750.35.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1747.266323557568_1750.35.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1747.266323557568_1750.35.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1747.8300000000002_1750.8918181402516.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1747.8300000000002_1750.8918181402516.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1747.8300000000002_1750.8918181402516.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1747.8300000000002_1750.8918181402516.mp4_frame3.jpg,challenge
challenge_1606b0e6_0_1785.3979303703056_1787.8979303703056.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1785.3979303703056_1787.8979303703056.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1785.3979303703056_1787.8979303703056.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1824.6383896930645_1827.31.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1824.6383896930645_1827.31.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1824.6383896930645_1827.31.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1892.466986923818_1894.966986923818.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1892.466986923818_1894.966986923818.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1892.466986923818_1894.966986923818.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_1998.7838419981067_2001.2838419981067.mp4_frame0.jpg,challenge
challenge_1606b0e6_0_1998.7838419981067_2001.2838419981067.mp4_frame1.jpg,challenge
challenge_1606b0e6_0_1998.7838419981067_2001.2838419981067.mp4_frame2.jpg,challenge
challenge_1606b0e6_0_200.2658219228331_202.7658219228331.mp4_frame0.jpg,challenge
