image,class
play_9a97dae4_1_1405.6215650233348_1408.9100000000003.mp4_frame2.jpg,play
challenge_35bd9041_1_2225.3304555444493_2227.8370000000004.mp4_frame1.jpg,challenge
throwin_35bd9041_1_3312.397068347328_3314.897068347328.mp4_frame0.jpg,throwin
play_cfbe2e94_0_2589.290296980485_2591.790296980485.mp4_frame1.jpg,play
play_35bd9041_0_1746.2019688007013_1748.7019688007013.mp4_frame1.jpg,play
play_35bd9041_1_2278.5513341194664_2281.0513341194664.mp4_frame2.jpg,play
play_4ffd5986_0_2157.2724548715096_2159.7724548715096.mp4_frame2.jpg,play
play_1606b0e6_1_978.1641592685968_980.6641592685968.mp4_frame2.jpg,play
play_35bd9041_1_765.5969999999998_768.8223866766684.mp4_frame1.jpg,play
play_35bd9041_1_2507.049261872472_2509.549261872472.mp4_frame2.jpg,play
play_35bd9041_0_2858.99_2862.8700000000003.mp4_frame1.jpg,play
play_ecf251d4_0_1610.5333630510931_1613.0333630510931.mp4_frame1.jpg,play
challenge_cfbe2e94_0_736.1767070428011_738.6767070428011.mp4_frame1.jpg,challenge
play_1606b0e6_0_1123.11_1126.7320555994704.mp4_frame1.jpg,play
play_1606b0e6_0_2664.64386550668_2667.14386550668.mp4_frame1.jpg,play
throwin_3c993bd2_0_443.9711634309755_447.42.mp4_frame2.jpg,throwin
challenge_1606b0e6_0_1076.35_1079.3108669560006.mp4_frame2.jpg,challenge
play_ecf251d4_0_3050.347_3053.7440225242794.mp4_frame3.jpg,play
throwin_3c993bd2_0_390.53545556476814_393.03545556476814.mp4_frame0.jpg,throwin
play_cfbe2e94_0_2674.4057255796174_2676.9057255796174.mp4_frame1.jpg,play
challenge_9a97dae4_1_2118.770156763784_2121.270156763784.mp4_frame1.jpg,challenge
play_1606b0e6_0_2305.79416896704_2308.63.mp4_frame0.jpg,play
play_35bd9041_0_2733.11_2736.5643754036164.mp4_frame0.jpg,play
play_1606b0e6_1_1362.1864867690315_1364.6864867690315.mp4_frame1.jpg,play
play_4ffd5986_0_581.0350721688483_583.5350721688483.mp4_frame1.jpg,play
play_ecf251d4_0_889.307_892.6511765575028.mp4_frame0.jpg,play
play_3c993bd2_1_2650.352391819407_2652.23.mp4_frame1.jpg,play
play_1606b0e6_1_3055.11_3059.0342043096784.mp4_frame1.jpg,play
play_4ffd5986_0_1537.1916139898478_1539.6916139898478.mp4_frame2.jpg,play
play_cfbe2e94_0_1728.4303064923154_1730.9303064923154.mp4_frame0.jpg,play
play_35bd9041_1_1775.8370000000004_1779.9170000000004.mp4_frame3.jpg,play
play_35bd9041_1_1616.364022412291_1619.477.mp4_frame3.jpg,play
play_ecf251d4_0_2438.3194068718126_2440.8194068718126.mp4_frame0.jpg,play
challenge_ecf251d4_0_2594.999915998225_2597.499915998225.mp4_frame2.jpg,challenge
challenge_3c993bd2_1_2454.4202204162257_2456.9202204162257.mp4_frame1.jpg,challenge
play_1606b0e6_0_2187.585187540398_2190.085187540398.mp4_frame1.jpg,play
play_4ffd5986_0_2462.9469739839788_2465.81.mp4_frame2.jpg,play
play_1606b0e6_1_2011.51_2014.4333521878784.mp4_frame0.jpg,play
play_407c5a9e_1_2644.9871528091803_2647.4871528091803.mp4_frame2.jpg,play
play_35bd9041_0_1157.7192860957075_1160.2192860957075.mp4_frame0.jpg,play
play_1606b0e6_1_2976.0435405235407_2978.5435405235407.mp4_frame1.jpg,play
play_9a97dae4_1_1481.5940201321923_1484.0940201321923.mp4_frame0.jpg,play
play_1606b0e6_0_904.1022514492756_906.71.mp4_frame0.jpg,play
play_407c5a9e_1_730.4299999999998_735.4299999999998.mp4_frame5.jpg,play
challenge_3c993bd2_1_2478.766866036924_2481.266866036924.mp4_frame1.jpg,challenge
play_3c993bd2_0_1786.98_1789.9030014814282.mp4_frame1.jpg,play
play_1606b0e6_1_624.4922054685171_626.9922054685171.mp4_frame0.jpg,play
play_407c5a9e_1_2778.11_2781.1185170594795.mp4_frame1.jpg,play
challenge_cfbe2e94_1_3466.744017435544_3469.244017435544.mp4_frame1.jpg,challenge
play_35bd9041_0_2493.0375486501302_2495.5375486501302.mp4_frame0.jpg,play
play_3c993bd2_0_748.5643341540624_751.0643341540624.mp4_frame2.jpg,play
play_3c993bd2_0_762.5218371222222_765.0218371222222.mp4_frame0.jpg,play
play_4ffd5986_0_296.49_300.7818505820038.mp4_frame0.jpg,play
play_4ffd5986_0_1399.85_1402.9293093191702.mp4_frame0.jpg,play
play_1606b0e6_1_2914.9500000000003_2919.47.mp4_frame0.jpg,play
challenge_407c5a9e_1_1618.7541325805146_1621.2541325805146.mp4_frame2.jpg,challenge
play_3c993bd2_0_1646.3786614580274_1649.66.mp4_frame3.jpg,play
play_cfbe2e94_0_2490.4300589170384_2492.9300589170384.mp4_frame0.jpg,play
challenge_35bd9041_0_189.31_192.7861705271009.mp4_frame1.jpg,challenge
play_3c993bd2_1_1621.2700000000004_1626.4700000000005.mp4_frame1.jpg,play
play_3c993bd2_1_2295.369136748988_2297.869136748988.mp4_frame2.jpg,play
challenge_cfbe2e94_0_2440.0952918435305_2443.32.mp4_frame1.jpg,challenge
play_3c993bd2_1_596.1761571452034_598.6761571452034.mp4_frame2.jpg,play
play_1606b0e6_1_1688.2719070383296_1690.7719070383296.mp4_frame2.jpg,play
play_3c993bd2_1_2473.6323162039225_2476.1323162039225.mp4_frame2.jpg,play
play_35bd9041_0_1480.3372329452702_1482.8372329452702.mp4_frame2.jpg,play
play_1606b0e6_0_295.84360270045954_298.79.mp4_frame0.jpg,play
play_1606b0e6_1_1145.5506668030662_1148.4699999999998.mp4_frame2.jpg,play
play_4ffd5986_0_221.40298295667645_223.90298295667645.mp4_frame2.jpg,play
throwin_9a97dae4_1_1554.3968845005895_1556.8968845005895.mp4_frame1.jpg,throwin
play_ecf251d4_0_2993.9315900010106_2997.827.mp4_frame1.jpg,play
play_407c5a9e_1_1953.98056748722_1956.48056748722.mp4_frame2.jpg,play
play_ecf251d4_0_229.147_233.00612136357992.mp4_frame2.jpg,play
challenge_1606b0e6_1_716.5283564719034_719.0283564719034.mp4_frame1.jpg,challenge
play_1606b0e6_1_582.9964894410441_585.79.mp4_frame0.jpg,play
play_1606b0e6_0_2099.0008662232444_2102.55.mp4_frame1.jpg,play
play_3c993bd2_1_1178.59_1182.0316404411724.mp4_frame2.jpg,play
play_cfbe2e94_0_927.3598035358796_930.56.mp4_frame3.jpg,play
play_cfbe2e94_0_941.3119903580102_943.8119903580102.mp4_frame2.jpg,play
play_1606b0e6_0_258.27323494359047_261.31.mp4_frame0.jpg,play
throwin_1606b0e6_0_2516.001501740996_2518.501501740996.mp4_frame2.jpg,throwin
play_3c993bd2_0_1488.6443411981686_1491.1443411981686.mp4_frame1.jpg,play
play_1606b0e6_0_2645.9500000000003_2649.5623883821013.mp4_frame0.jpg,play
play_1606b0e6_1_3203.8162224586063_3206.3162224586063.mp4_frame0.jpg,play
play_9a97dae4_1_1381.7099999999996_1385.899612219872.mp4_frame2.jpg,play
throwin_9a97dae4_1_2443.648573946933_2446.148573946933.mp4_frame2.jpg,throwin
play_cfbe2e94_0_1419.8098002367278_1422.3098002367278.mp4_frame2.jpg,play
play_1606b0e6_1_2099.082720666564_2101.582720666564.mp4_frame0.jpg,play
play_1606b0e6_0_930.4522950137376_932.9522950137376.mp4_frame1.jpg,play
play_cfbe2e94_1_751.7799999999997_755.5188360063421.mp4_frame3.jpg,play
play_35bd9041_1_1139.3762964861407_1142.477.mp4_frame3.jpg,play
play_35bd9041_0_2904.782443750321_2907.282443750321.mp4_frame1.jpg,play
play_1606b0e6_0_1207.1044720650773_1209.6044720650773.mp4_frame2.jpg,play
play_1606b0e6_1_3363.5502487623094_3366.0502487623094.mp4_frame2.jpg,play
play_1606b0e6_1_2172.307997951604_2175.11.mp4_frame0.jpg,play
play_3c993bd2_0_814.3745976459384_816.8745976459384.mp4_frame1.jpg,play
play_9a97dae4_1_2350.91954273604_2353.41954273604.mp4_frame2.jpg,play
play_3c993bd2_1_498.51668405109376_501.59000000000015.mp4_frame1.jpg,play
play_3c993bd2_1_1738.0023239358195_1740.5023239358195.mp4_frame2.jpg,play
play_35bd9041_0_2732.640270627168_2735.4700000000003.mp4_frame1.jpg,play
play_3c993bd2_1_1406.638681844729_1409.138681844729.mp4_frame0.jpg,play
play_3c993bd2_0_778.8832224721511_781.3832224721511.mp4_frame1.jpg,play
play_3c993bd2_0_1103.3363529230444_1106.02.mp4_frame2.jpg,play
challenge_4ffd5986_0_2665.036050606069_2667.536050606069.mp4_frame0.jpg,challenge
play_9a97dae4_1_1381.7099999999996_1385.899612219872.mp4_frame3.jpg,play
play_cfbe2e94_1_1559.122392119487_1561.54.mp4_frame2.jpg,play
play_1606b0e6_1_996.9159415296213_1000.0700000000002.mp4_frame3.jpg,play
throwin_1606b0e6_0_874.4791147680398_876.9791147680398.mp4_frame1.jpg,throwin
play_ecf251d4_0_2440.8780366794167_2444.267.mp4_frame1.jpg,play
play_cfbe2e94_1_2607.7175588193904_2610.2175588193904.mp4_frame2.jpg,play
play_cfbe2e94_1_1035.3219966213835_1038.5.mp4_frame1.jpg,play
play_ecf251d4_0_739.7464674685104_742.2464674685104.mp4_frame0.jpg,play
play_1606b0e6_0_2350.331592855143_2352.831592855143.mp4_frame1.jpg,play
play_9a97dae4_1_1827.7899999999995_1833.35.mp4_frame5.jpg,play
play_407c5a9e_1_1699.4239922170125_1701.9239922170125.mp4_frame0.jpg,play
play_1606b0e6_0_2700.7963904919065_2703.2963904919065.mp4_frame2.jpg,play
play_3c993bd2_1_1741.1419990548902_1743.91.mp4_frame0.jpg,play
play_407c5a9e_1_1966.0815282742565_1968.5815282742565.mp4_frame2.jpg,play
play_407c5a9e_1_672.4569626918451_674.9569626918451.mp4_frame2.jpg,play
play_1606b0e6_0_1312.4600529993902_1314.91.mp4_frame1.jpg,play
play_4ffd5986_0_1212.3029322756934_1214.85.mp4_frame0.jpg,play
play_ecf251d4_0_2822.7042798707016_2825.2042798707016.mp4_frame2.jpg,play
play_1606b0e6_1_605.3866194387942_609.5500000000002.mp4_frame1.jpg,play
challenge_3c993bd2_0_2829.4715182889995_2831.9715182889995.mp4_frame0.jpg,challenge
play_1606b0e6_1_3126.0234875784304_3128.5234875784304.mp4_frame0.jpg,play
play_3c993bd2_0_1393.8428469598027_1396.3428469598027.mp4_frame1.jpg,play
play_3c993bd2_1_3400.583373585514_3403.083373585514.mp4_frame2.jpg,play
play_1606b0e6_0_1177.1192860957076_1179.6192860957076.mp4_frame0.jpg,play
play_35bd9041_0_631.61077183638_635.23.mp4_frame3.jpg,play
play_35bd9041_1_2699.082851693076_2701.582851693076.mp4_frame2.jpg,play
